CUSTOMER_ID,SIGNUP_DATE,CHURN_DATE,SUBSCRIPTION_PLAN,CONTRACT_TYPE,MONTHLY_FEE,SUPPORT_TICKETS,USAGE_HOURS
CUST-100000,4/13/2022,,Basic,Monthly,29,0,56
CUST-100001,3/12/2023,,Basic,Monthly,29,1,42.1
CUST-100002,5/10/2024,,Pro,Annual,79,1,35
CUST-100003,9/28/2022,,Pro,Annual,79,2,28.8
CUST-100004,4/17/2022,,Basic,Annual,29,0,51.6
CUST-100005,3/13/2022,,Pro,Monthly,79,1,67
CUST-100006,12/2/2023,,Pro,Monthly,79,2,54.6
CUST-100007,1/21/2022,,Enterprise,Monthly,299,1,25.8
CUST-100008,9/7/2023,,Pro,Monthly,79,0,40.5
CUST-100009,5/2/2022,,Pro,Monthly,79,2,34.5
CUST-100010,4/12/2023,,Pro,Monthly,79,4,41.3
CUST-100011,8/3/2022,10/12/2022,Basic,Annual,29,4,30.2
CUST-100012,11/27/2022,,Basic,Annual,29,2,55.7
CUST-100013,4/4/2023,,Basic,Monthly,29,1,46.7
CUST-100014,3/29/2022,6/24/2022,Basic,Monthly,29,5,18.7
CUST-100015,1/8/2023,4/29/2023,Basic,Annual,29,5,40.3
CUST-100016,4/10/2022,,Basic,Monthly,29,1,47.5
CUST-100017,5/21/2024,1/21/2025,Basic,Monthly,29,5,28.4
CUST-100018,10/26/2023,,Basic,Monthly,29,2,40.7
CUST-100019,5/11/2022,,Basic,Monthly,29,2,42.9
CUST-100020,10/24/2023,,Pro,Monthly,79,1,41.2
CUST-100021,11/5/2022,,Pro,Monthly,79,0,48
CUST-100022,2/9/2024,,Pro,Monthly,79,3,55.8
CUST-100023,12/10/2022,,Basic,Monthly,29,0,41.9
CUST-100024,5/7/2023,,Basic,Monthly,29,1,11.2
CUST-100025,2/18/2023,,Basic,Monthly,29,1,42.3
CUST-100026,3/16/2024,9/28/2024,Basic,Monthly,29,5,41.2
CUST-100027,1/21/2023,,Pro,Annual,79,0,45.4
CUST-100028,7/11/2022,4/11/2023,Basic,Monthly,29,5,50
CUST-100029,8/13/2024,,Pro,Monthly,79,1,29.8
CUST-100030,10/4/2022,,Pro,Monthly,79,4,32.5
CUST-100031,6/10/2022,,Basic,Annual,29,1,58.9
CUST-100032,4/5/2023,9/16/2023,Pro,Monthly,79,0,25.2
CUST-100033,11/10/2022,4/27/2023,Basic,Annual,29,2,34.8
CUST-100034,1/22/2022,,Basic,Annual,29,4,37.3
CUST-100035,9/10/2022,,Pro,Annual,79,2,24
CUST-100036,1/18/2024,4/13/2024,Enterprise,Annual,299,1,38.5
CUST-100037,5/6/2024,,Pro,Annual,79,2,50.6
CUST-100038,7/15/2023,,Enterprise,Annual,299,3,28.6
CUST-100039,4/20/2023,,Basic,Monthly,29,1,47
CUST-100040,2/28/2022,12/16/2022,Basic,Monthly,29,1,15.8
CUST-100041,5/26/2023,,Basic,Annual,29,2,37.8
CUST-100042,11/13/2023,,Basic,Monthly,29,2,49.5
CUST-100043,4/21/2023,,Basic,Annual,29,0,26.5
CUST-100044,12/1/2023,3/23/2024,Pro,Monthly,79,3,33.9
CUST-100045,9/2/2024,,Pro,Monthly,79,2,37.9
CUST-100046,2/22/2024,,Enterprise,Annual,299,2,68.7
CUST-100047,7/9/2022,,Enterprise,Monthly,299,2,54.1
CUST-100048,8/15/2024,,Basic,Annual,29,1,34.8
CUST-100049,11/18/2023,,Enterprise,Monthly,299,1,8.7
CUST-100050,8/15/2024,,Basic,Annual,29,2,50.4
CUST-100051,7/17/2023,,Basic,Monthly,29,3,59.1
CUST-100052,5/25/2024,,Pro,Monthly,79,3,30.1
CUST-100053,7/21/2023,,Basic,Monthly,29,1,28.9
CUST-100054,9/1/2022,,Enterprise,Monthly,299,4,5
CUST-100055,4/11/2024,,Pro,Annual,79,1,49
CUST-100056,5/20/2023,8/7/2023,Enterprise,Monthly,299,3,24.3
CUST-100057,5/11/2022,,Enterprise,Monthly,299,2,51.4
CUST-100058,4/30/2023,,Pro,Annual,79,0,56.4
CUST-100059,3/29/2024,,Basic,Annual,29,0,22.4
